SCRAM,CYCLE,EST_ST,EST_MSA,REGION,HWEIGHT,PWEIGHT,TBIRTH_YEAR,ABIRTH_YEAR,RHISPANIC,AHISPANIC,RRACE,ARACE,EEDUC,AEDUC,MS,EGENID_BIRTH,AGENID_BIRTH,GENID_DESCRIBE,SEXUAL_ORIENTATION,THHLD_NUMPER,AHHLD_NUMPER,THHLD_NUMKID,AHHLD_NUMKID,THHLD_NUMADLT,KIDS_LT5Y,KIDS_5_11Y,KIDS_12_17Y,ENRPUBCHK,ENRPRVCHK,ENRHMSCHK,TENROLLPUB,TENROLLPRV,TENROLLHMSCH,ENROLLNONE,ACTVDUTY1,ACTVDUTY2,ACTVDUTY3,ACTVDUTY4,ACTVDUTY5,RECVDVACC,HADCOVIDRV,SYMPTOMS,LONGCOVID,SYMPTMNOW,WRKLOSSRV,ANYWORK,KINDWORK,RSNNOWRKRV,EXPNS_DIF,TWDAYS,CURFOODSUF,CHILDFOOD,FOODRSNRV1,FOODRSNRV2,FOODRSNRV3,FOODRSNRV4,FREEFOOD,SCHLFDHLP_RV1,SCHLFDHLP_RV2,SCHLFDHLP_RV3,SCHLFDHLP_RV4,SCHLFDHLP_RV5,FDBENEFIT1,ANXIOUS,WORRY,INTEREST,DOWN,HLTHINS1,HLTHINS2,HLTHINS3,HLTHINS4,HLTHINS5,HLTHINS6,HLTHINS7,HLTHINS8,PRIVHLTH,PUBHLTH,SEEING,HEARING,REMEMBERING,MOBILITY,SELFCARE,UNDERSTAND,TENURE,RENTCHNG,LIVQTRRV,RENTCUR,MORTCUR,TMNTHSBHND,EVICT,FORCLOSE,ENERGY,HSE_TEMP,ENRGY_BILL,INCOME,SYMPTMIMPCT,PRICECHNG,PRICESTRESS,PRICECONCRN,TWDAYS_RESP,FRMLA_YN,FRMLA_AGE,FRMLA_DIFFCLT,GAS1,GAS2,GAS3,GAS4,SCHLFDHLP_RV6,SCHLFDHLP_RV7,SCHLFDHLP_RV8,FDBENEFIT2,SCHLFDEXPNS,ND_DISPLACE,ND_TYPE1,ND_TYPE2,ND_TYPE3,ND_TYPE4,ND_TYPE5,ND_HOWLONG,ND_DAMAGE,ND_FDSHRTAGE,ND_WATER,ND_ELCTRC,ND_UNSANITARY,ND_ISOLATE,ND_CRIME,ND_SCAM,FDBENEFIT3,BABY_FED,MHLTH_NEED,MHLTH_GET,MHLTH_SATISFD,MHLTH_DIFFCLT,MOVEWHY1,MOVEWHY2,MOVEWHY3,MOVEWHY4,MOVEWHY5,MOVEWHY6,MOVEWHY7,MOVEWHY8,MOVED,WHENCOVIDRV1,WHENCOVIDRV2,WHENCOVIDRV3,VETERAN1,VETERAN2,VETERAN3,VETERAN4,VETERAN5,CHILDCARE,CHILDCARE_RSLT1,CHILDCARE_RSLT2,CHILDCARE_RSLT3,CHILDCARE_RSLT4,CHILDCARE_RSLT5,CHILDCARE_RSLT6,CHILDCARE_RSLT7,CHILDCARE_RSLT8,CHILDCARE_RSLT9,SOCIAL1,SOCIAL2,SUPPORT1,SUPPORT2,SUPPORT3,SUPPORT4,SUPPORT1EXP,RVACCDATE,RSVVACC
P010000011,1,48,19100,2,1203.398154,2224.83072,1985,2,1,2,1,2,7,2,1,1,2,1,2,2,2,0,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,1,4,2,2,2,1,2,-88,1,2,1,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-99,-99,-99,-99,-99,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,4,4,8,-88,2,-88,2,2,-88,-88,-88,-99,-99,-99,1,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,1,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,2,4,1,4,2,-88
P010000012,1,06,41860,4,491.30198911,946.45400876,1961,2,1,2,1,2,4,2,5,2,2,-88,2,2,2,0,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,1,3,2,2,2,1,2,-88,3,1,1,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-99,2,1,2,2,1,-99,1,-99,-99,-99,-99,-99,1,1,1,1,1,3,2,3,4,-88,2,-88,-88,-88,-88,-88,3,4,4,6,-88,1,2,1,1,-88,-88,-88,-99,1,-99,-99,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,4,3,1,1,1,4,1,2
P010000013,1,04,,4,2605.1308226,7248.1961424,1973,2,2,2,1,2,3,2,1,2,2,2,2,6,2,3,2,3,-99,1,1,1,-99,-99,3,-99,-99,-99,1,-99,-99,-99,-99,1,1,2,1,1,2,2,-88,1,1,4,1,-88,-88,-88,-88,-88,2,1,-99,-99,-99,-99,-99,1,1,2,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,2,2,6,2,1,2,1,-88,-88,-88,-88,-99,-99,-99,1,-99,-99,-99,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,1,-99,1,-99,-99,-99,-99,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,4,4,4,4,1,4,2,-88
P010000014,1,53,,4,123.4723253,231.13203856,1984,2,1,2,1,2,7,2,1,2,2,-88,2,3,2,1,2,2,1,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,1,2,-88,-88,-88,2,1,2,-88,1,3,1,-88,-88,-88,-88,-88,2,-99,-99,1,-99,-99,-99,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,4,4,8,-88,2,-88,2,3,1,3,3,-99,-99,-99,1,-99,-99,-99,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,2,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,3,2,1,1,1,3,3,-88
P010000015,1,28,,2,851.32245678,1575.5733466,1976,2,1,2,2,2,4,2,1,2,2,-88,2,4,2,2,2,2,-99,1,1,1,-99,-99,2,-99,-99,-99,1,-99,-99,-99,-99,1,2,-88,-88,-88,2,1,3,-88,3,4,2,3,-99,-99,-99,1,1,1,-99,-99,-99,-99,-99,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2,-88,-99,-88,1,-88,-88,-88,2,4,4,1,-88,1,3,2,-88,-88,-88,-88,-99,-99,-99,1,-99,-99,-99,-99,-88,1,-99,-99,-99,-99,1,2,2,2,2,4,3,2,1,1,1,-88,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,5,5,2,1,4,3,2,3,-88
P010000016,1,25,14460,1,1145.193528,2130.2687838,1987,2,2,2,4,2,6,2,1,2,2,2,2,3,2,1,2,2,-99,1,-99,-99,1,-99,-99,1,-99,-99,1,-99,-99,-99,-99,1,1,2,-88,2,2,1,3,-88,2,3,1,-88,-88,-88,-88,-88,2,-99,-99,1,-99,-99,-99,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,3,1,6,1,-88,-88,-88,-88,4,4,4,7,-88,1,3,1,3,-88,-88,-88,-99,-99,-99,1,-99,-99,-99,-99,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,3,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,1,-88,1,-99,-99,1,-99,-99,-99,-99,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,5,4,2,1,1,4,2,-88
P010000017,1,06,,4,5980.0694507,11520.125767,1974,2,1,2,3,2,7,2,1,2,2,-88,2,5,2,3,2,2,-99,1,1,1,-99,-99,3,-99,-99,-99,1,-99,-99,-99,-99,1,1,2,2,2,1,1,4,-88,1,3,1,-88,-88,-88,-88,-88,2,1,-99,-99,-99,-99,-99,1,1,1,1,-99,1,-99,-99,-99,-99,-99,-99,1,3,2,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,4,4,8,-88,1,3,2,1,-88,-88,-88,-99,-99,-99,1,-99,-99,-99,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,1,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,1,-99,-99,-99,-99,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,5,4,3,1,1,4,2,-88
P010000018,1,09,,1,448.26254024,1687.7316025,1971,2,1,2,1,2,6,2,3,2,2,-88,2,4,2,0,2,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,1,1,2,-88,2,1,2,-88,1,1,1,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-99,1,-99,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,4,4,6,-88,1,3,3,1,-88,-88,-88,-99,1,1,-99,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,4,2,1,1,1,4,3,-88
P010000019,1,13,,2,5320.2947215,10270.488562,1958,2,1,2,1,2,3,2,1,2,2,-88,2,2,2,0,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,2,-88,-88,-88,1,2,-88,9,3,4,1,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-99,1,1,1,1,2,-99,1,2,-99,-99,-99,-99,3,1,2,1,1,1,1,1,1,-88,2,-88,-88,-88,-88,-88,4,4,4,3,-88,1,2,-99,-88,-88,-88,-88,-99,1,-99,-99,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,4,4,2,4,1,4,3,2
P010000020,1,22,,2,1708.9070096,4748.5154653,1970,2,1,2,1,2,3,2,1,2,2,2,2,3,2,0,2,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,2,1,3,1,2,2,1,2,-88,4,4,2,-88,1,-99,-99,-99,2,-88,-88,-88,-88,-88,-99,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,-88,1,-88,2,1,-88,4,1,2,2,4,-88,1,1,1,-88,-88,-88,-88,1,-99,-99,-99,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,3,2,1,2,1,3,-88,-88
P010000021,1,01,,2,3939.0283449,15210.488729,1954,2,1,2,1,2,3,2,1,2,2,2,2,4,2,0,2,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,1,2,2,2,2,2,-88,5,1,4,3,-88,1,-99,-99,-99,2,-88,-88,-88,-88,-88,-99,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,4,4,1,-88,1,1,1,-88,-88,-88,-88,-99,-99,-99,1,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,5,3,1,1,1,1,2,1,2
P010000022,1,06,,4,8540.5722782,24679.094678,1981,2,2,2,1,1,4,2,1,1,2,-88,2,3,2,0,2,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,2,-88,-88,-88,2,1,2,-88,1,4,1,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-99,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,4,2,1,-88,-88,-88,-88,1,4,4,4,-88,4,-88,2,-88,-88,-88,-88,-99,-99,-99,1,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,1,-88,-88,-88,-88,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,5,2,1,1,1,2,3,-88
P010000023,1,26,19820,3,798.46905636,1522.6966487,1980,2,1,2,1,2,6,2,1,1,2,1,2,2,2,0,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,1,1,2,-88,2,1,2,-88,1,2,1,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-99,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,4,4,7,-88,1,3,2,4,-88,-88,-88,-99,-99,-99,1,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,5,3,2,2,1,4,3,-88
P010000024,1,33,,1,903.53989206,1762.0636594,1969,2,1,2,1,2,7,2,1,1,2,-88,2,2,2,0,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,1,3,2,2,2,1,4,-88,1,2,1,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-99,2,1,1,1,1,-99,-99,-99,-99,-99,-99,-99,1,3,1,1,1,1,1,1,2,-88,2,-88,1,-88,-88,-88,4,4,4,8,-88,2,-88,4,3,-88,-88,-88,-99,1,-99,-99,-88,-88,-88,-99,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,1,-99,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,4,2,2,1,1,4,1,-88
